id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
8556116,Anthony Davis #195,Basketball Cards 2024 Panini Prizm,138,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
8561305,Jaylon Tyson #9,Basketball Cards 2024 Panini Prizm Instant Impact,99,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
1673204,Tepig #23,Pokemon Battle Styles,10,Ungraded,Normal wear,,,0,1,2025-04-16,,,,HOLO LOT
8540427,Jalen Johnson [Red White Blue] #120,Basketball Cards 2024 Panini Prizm,185,Ungraded,Normal wear,,,0,1,2025-04-19,,,,2025 PRIZMS
8561313,Jared McCain #10,Basketball Cards 2024 Panini Prizm Instant Impact,125,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
2575541,Black Luster Ritual [1st Edition] SYE-025,YuGiOh Starter Deck: Yugi Evolution,173,Ungraded,Normal wear,,,0,1,2025-04-18,,,,CHECK CENTERING
2286,Kirby Nightmare in Dreamland,GameBoy Advance,2999,Item only,Normal wear,,,0,1,2025-05-06,,,,
8558169,Alexandre Sarr #264,Basketball Cards 2024 Panini Prizm,411,Ungraded,Normal wear,,,0,3,2025-04-18,,,,
2575291,Dian Keto the Cure Master SDP-027,YuGiOh Starter Deck: Pegasus,81,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
2575283,Hiro's Shadow Scout SDP-019,YuGiOh Starter Deck: Pegasus,36,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
2575527,Giant Soldier of Stone [1st Edition] SYE-010,YuGiOh Starter Deck: Yugi Evolution,74,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8531692,Mikal Bridges [Red White Blue] #15,Basketball Cards 2024 Panini Prizm,145,Ungraded,Normal wear,,,0,1,2025-04-19,,,,2025 PRIZMS
8871348,Dhelmise [Reverse Holo] #70,Pokemon Journey Together,15,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
8871278,Impidimp #71,Pokemon Journey Together,30,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
8871162,Noibat #127,Pokemon Journey Together,30,Ungraded,Normal wear,,,0,3,2025-04-20,,,,
2546179,Fire Darts [1st Edition] CRV-EN049,YuGiOh Cybernetic Revolution,240,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8554551,Charles Barkley [Red White Blue] #280,Basketball Cards 2024 Panini Prizm,167,Ungraded,Normal wear,,,0,1,2025-04-17,,,,2025 PRIZMS
2543753,Contract with the Dark Master [1st Edition] DCR-087,YuGiOh Dark Crisis,150,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871258,Ludicolo [Reverse Holo] #37,Pokemon Journey Together,50,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
2575372,Dark Magician SDY-006,YuGiOh Starter Deck: Yugi,1726,Ungraded,Normal wear,,,0,2,2025-04-18,,,,PERSONAL COLLECTION
4933909,Kingambit [Holo] #134,Pokemon Scarlet & Violet,13,Ungraded,Normal wear,,,0,1,2025-04-16,,,,HOLO LOT
1972526,Pokemon Colosseum Player's Guide,Strategy Guide,4125,Item only,Normal wear,,,0,1,2025-05-06,,,,
3587,Super Smash Bros. Melee,Gamecube,6000,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
2574968,Armored Lizard SDJ-009,YuGiOh Starter Deck: Joey,47,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8727564,Johnny Furphy #FP-FUR,Basketball Cards 2024 Panini Court Kings Fresh Paint Autograph,1907,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
16468,Pokemon Platinum,Nintendo DS,19337,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
8548746,Tristen Newton [Red White Blue] #261,Basketball Cards 2024 Panini Prizm,124,Ungraded,Normal wear,,,0,1,2025-04-19,,,,2025 PRIZMS
2572510,Rare Metal Dragon EP1-EN004,YuGiOh Exclusive Pack,92,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871098,Karrablast [Reverse Holo] #9,Pokemon Journey Together,17,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
2572509,Sphinx Teleia EP1-EN003,YuGiOh Exclusive Pack,74,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
2593882,Beta The Magnet Warrior DOR-002,YuGiOh The Duelists of the Roses,710,Ungraded,Normal wear,,,0,1,2025-04-16,,,,PERSONAL COLLECTION
2546204,Infernal Incinerator EEN-EN012,YuGiOh Elemental Energy,11,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
2593997,Dark Paladin DMG-001,YuGiOh Duel Master's Guide,2767,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
8541636,Draymond Green #131,Basketball Cards 2024 Panini Prizm,159,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
8556110,Zach LaVine #192,Basketball Cards 2024 Panini Prizm,165,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
8531128,Devin Booker [Silver] #8,Basketball Cards 2024 Panini Prizm,144,Ungraded,Normal wear,,,0,1,2025-04-19,,,,2025 PRIZMS
1341498,Kyogre #21,Pokemon Shining Fates,323,Ungraded,Normal wear,,,0,1,2025-04-16,,,,HOLO LOT
8560297,Alexandre Sarr [Silver] #9,Basketball Cards 2024 Panini Prizm Deep Space,100,Ungraded,Normal wear,,,0,1,2025-04-19,,,,2025 PRIZMS
8539098,Bogdan Bogdanovic [Red White Blue] #105,Basketball Cards 2024 Panini Prizm,222,Ungraded,Normal wear,,,0,1,2025-04-17,,,,2025 PRIZMS
8539485,Cam Whitmore #110,Basketball Cards 2024 Panini Prizm,150,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
2578578,The Law of the Normal AST-094,YuGiOh Ancient Sanctuary,91,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8538920,Jayson Tatum #103,Basketball Cards 2024 Panini Prizm,172,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
4122,Pokemon Diamond,Nintendo DS,5960,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
3470,Paper Mario Thousand Year Door,Gamecube,4851,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
3483,Pokemon Colosseum,Gamecube,17398,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
8871238,Iono's Bellibolt ex #53,Pokemon Journey Together,158,Ungraded,Normal wear,,,0,1,2025-04-20,,,,NOT A 10
2544444,Fairy Meteor Crush DB1-EN178,YuGiOh Dark Beginning 1,99,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871064,Pangoro #99,Pokemon Journey Together,16,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
1341545,Gym Trainer #68,Pokemon Shining Fates,149,Ungraded,Normal wear,,,0,1,2025-04-16,,,,
8871157,Greedent [Reverse Holo] #132,Pokemon Journey Together,36,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
8542397,Jaime Jaquez Jr. #138,Basketball Cards 2024 Panini Prizm,150,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
5432229,Bennedict Mathurin #FBR-BMP,Basketball Cards 2022 Panini Prizm Fast Break Rookie Autographs,2600,Ungraded,Normal wear,,,2500,1,2025-04-16,,,,PERSONAL COLLECTION
2543758,Archfiend's Oath [1st Edition] DCR-092,YuGiOh Dark Crisis,35,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871165,Noivern [Holo] #128,Pokemon Journey Together,25,Ungraded,Normal wear,,,0,1,2025-04-20,,,,HOLO LOT
2575268,Illusionist Faceless Mage SDP-004,YuGiOh Starter Deck: Pegasus,58,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871248,Alolan Marowak #57,Pokemon Journey Together,42,Ungraded,Normal wear,,,0,3,2025-04-20,,,,
5605909,Audino [Reverse Holo] #173,Pokemon Obsidian Flames,20,Ungraded,Normal wear,,,0,1,2025-04-16,,,,REVERSE HOLO LOT
4100,New Super Mario Bros,Nintendo DS,1799,Item only,Normal wear,,,0,1,2025-05-06,,,,
8871280,Morgrem #72,Pokemon Journey Together,22,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
8560618,Alexandre Sarr #14,Basketball Cards 2024 Panini Prizm Emergent,117,Ungraded,Normal wear,,,0,1,2025-04-18,,,,
2574991,Giant Trunade SDJ-032,YuGiOh Starter Deck: Joey,99,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
5605886,Bronzong [Reverse Holo] #145,Pokemon Obsidian Flames,19,Ungraded,Normal wear,,,0,1,2025-04-16,,,,REVERSE HOLO LOT
8538292,Bam Adebayo #97,Basketball Cards 2024 Panini Prizm,150,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
2546197,Jack's Knight EEN-EN005,YuGiOh Elemental Energy,911,Ungraded,Normal wear,,,0,1,2025-04-18,,,,CHECK CENTERING
8871124,Hop's Snorlax #117,Pokemon Journey Together,358,Ungraded,Normal wear,,,0,2,2025-04-20,,,,HOLO LOT
4953060,Koraidon #14,Pokemon Promo,495,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
2463,Pokemon Sapphire,GameBoy Advance,8500,Item only,Normal wear,,,0,1,2025-05-06,,,,
8871078,Karrablast #9,Pokemon Journey Together,30,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
4566851,Indeedee [Holo] #56,Pokemon Shining Fates,150,Ungraded,Normal wear,,,0,1,2025-04-16,,,,HOLO LOT
2575389,Dark Hole SDY-022,YuGiOh Starter Deck: Yugi,86,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
13205,Pokemon Mystery Dungeon Explorers of Darkness,Nintendo DS,2045,Item only,Normal wear,,,0,1,2025-05-06,,,,
2543914,Gren Maju Da Eiza [1st Edition] IOC-024,YuGiOh Invasion of Chaos,78,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
2543419,Continuous Destruction Punch MFC-085,YuGiOh Magician's Force,74,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
1673328,Mimikyu V #148,Pokemon Battle Styles,2398,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CLEAN AND SEND
8871183,Squawkabilly [Reverse Holo] #141,Pokemon Journey Together,25,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
